,ID
Washington,53
Montana,30
Idaho,16
North Dakota,38
Minnesota,27
Maine,23
Michigan,26
Wisconsin,55
Oregon,41
South Dakota,46
New Hampshire,33
Vermont,50
New York,36
Wyoming,56
Iowa,19
Nebraska,31
Massachusetts,25
Illinois,17
Pennsylvania,42
Connecticut,9
Rhode Island,44
California,6
Utah,49
Nevada,32
Ohio,39
Indiana,18
New Jersey,34
Colorado,8
West Virginia,54
Missouri,29
Kansas,20
Delaware,10
Maryland,24
Virginia,51
Kentucky,21
Arizona,4
Oklahoma,40
New Mexico,35
Tennessee,47
North Carolina,37
Texas,48
Arkansas,5
South Carolina,45
Alabama,1
Georgia,13
Mississippi,28
Louisiana,22
Florida,12
Hawaii,15
Alaska,2
