CC;a-3
AF;NGA
AF;ETH
AF;EGY
AF;COD
AF;TZA
AF;ZAF
AF;KEN
AF;UGA
AF;DZA
AF;MAR
AN;ATA
AN;BVT
AN;SGS
AN;HMD
AS;CHN
AS;IND
AS;IDN
AS;PAK
AS;BGD
AS;JPN
AS;PHL
AS;VNM
AS;IRN
AS;THA
EU;RUS
EU;TUR
EU;DEU
EU;GBR
EU;FRA
EU;ITA
EU;ESP
EU;UKR
EU;POL
EU;ROU
NA;USA
NA;MEX
NA;CAN
NA;GTM
NA;HTI
NA;CUB
NA;DOM
NA;HND
NA;NIC
NA;SLV
SA;BRA
SA;COL
SA;ARG
SA;PER
SA;VEN
SA;CHL
SA;ECU
SA;BOL
SA;PRY
SA;CRI
OC;AUS
OC;PNG
OC;NZL
OC;FJI
OC;SLB
OC;VUT
OC;NCL
OC;PYF
OC;WSM
OC;GUM
